TYPE,LATITUDE,LONGITUDe,SUSTAINED WINDS
TS,17.3,107.9,45
TS,18,109,45
TS,18.2,110.2,45
TS,18.2,111.5,45
TS,18.1,112.8,45
TS,18.1,113.9,45
TS,18,115,45
TS,18,115.7,45
TS,17.9,116.4,45
TS,17.8,116.8,45
TS,17.6,117.3,45
TS,17.3,117.8,45
TS,16.9,118.3,45
TS,16.7,119,45
TS,16.4,119.6,45
TS,16.1,120.2,45
TS,15.7,120.7,45
TS,15.4,121.2,45
TS,15.1,121.7,45
TS,14.9,122,45
TS,14.7,122.3,45
HU,13.8,95.1,75
HU,13.6,95.7,75
HU,13.5,96.4,75
HU,13.5,97,75
HU,13.6,97.6,75
HU,13.8,98.4,75
HU,14,99.2,75
HU,14.3,100.7,75
HU,14.6,102.2,75
HU,15.1,103.3,75
HU,15.6,104.3,75
HU,16.1,105.2,75
HU,16.7,106.1,75
HU,17.5,107,75
HU,18.4,107.8,75
HU,19.4,108.5,75
HU,20.4,109.1,75
HU,21.3,109.7,75
HU,22.3,110.3,75
HU,23.5,111.4,75
HU,24.8,112.6,75
HU,26.3,113.1,75
HU,27.9,113.1,75
HU,18.6,112.7,75
HU,19,113.8,75
HU,19.2,115,75
HU,19.1,115.9,75
HU,19,116.6,75
HU,18.9,117.1,75
HU,18.8,117.5,75
HU,18.6,118.2,75
HU,18.3,118.8,75
HU,17.8,119.2,75
HU,17.3,119.7,75
HU,17,120.4,75
HU,16.9,121,75
HU,16.9,121.5,75
HU,17,121.9,75
HU,17.1,122.3,75
HU,17.3,122.7,75
HU,17.5,123.2,75
HU,17.7,123.6,75
HU,18,124.1,75
HU,18.2,124.5,75
HU,18.4,124.8,75
HU,18.5,125.1,75
HU,18.7,125.8,75
HU,18.8,126.6,75
HU,18.7,127.3,75
HU,18.6,127.9,75
HU,18.4,128.9,75
HU,18.2,129.9,75
HU,17.9,131,75
HU,17.5,132.1,75
TS,17.1,116.1,45
TS,17.4,118.1,45
TS,17.6,120.1,45
TS,17.6,121.8,45
TS,17.5,123.4,45
TS,17.3,124.7,45
TS,17.1,125.9,45
TS,17,127.4,45
TS,16.9,128.9,45
TS,16.7,130,45
TS,16.5,131.1,45
TS,16.6,132.2,45
TS,17,133.2,45
TS,17.7,134,45
TS,18.4,134.7,45
TS,18.9,135.2,45
TS,19.5,135.7,45
TS,20,135.9,45
TS,20.6,136,45
TS,21.3,136.5,45
TS,21.9,137.1,45
TS,22.5,137.8,45
TS,23.1,138.6,45
TS,23.3,139.4,45
TS,23.3,140.3,45
TS,23.1,141.4,45
TS,22.6,142.7,45
TS,21.9,144.2,45
TS,21.1,145.7,45
TS,19.7,106.9,45
TS,19.7,107,45
TS,19.7,107.2,45
TS,19.8,108.2,45
TS,20,109.2,45
TS,20.1,110,45
TS,20.3,110.8,45
TS,21,112.5,45
TS,22.2,114,45
TS,23.9,114.6,45
TS,25.4,115.3,45
TS,25.8,116.2,45
TS,26.1,117.1,45
TS,26.3,117.9,45
TS,26.4,118.7,45
TS,19.6,107.5,45
TS,20.2,108.6,45
TS,20.6,109.5,45
TS,20.6,110.1,45
TS,20.8,110.7,45
TS,21.1,110.9,45
TS,21.5,111.1,45
TS,22.1,111.5,45
TS,22.6,112.1,45
TS,22.5,112.6,45
TS,22.1,113.2,45
TS,21.9,114.1,45
TS,21.7,115.2,45
TS,21.4,116,45
TS,21.1,116.8,45
TS,21.1,117.7,45
TS,21.1,118.7,45
TS,21.1,119.9,45
TS,21,121,45
TS,20.9,121.7,45
TS,20.8,122.4,45
TS,21,123,45
TS,21.3,123.7,45
TS,21.1,124.5,45
TS,20.5,125,45
TS,17.2,103.7,45
TS,17.8,104.3,45
TS,18.1,104.9,45
TS,18.2,105.5,45
TS,18.3,106.2,45
TS,18.4,107.6,45
TS,18.5,109,45
TS,19.3,109.6,45
TS,20.3,110.2,45
TS,20.7,110.9,45
TS,21,111.7,45
TS,21.2,112.3,45
TS,21.2,113,45
TS,21.1,114,45
TS,20.9,114.9,45
TS,20.6,115.5,45
TS,20.4,116.2,45
TS,20.4,117.1,45
TS,20.5,118.1,45
TS,20.5,118.9,45
TS,20.4,119.6,45
TS,20.4,120.3,45
TS,20.3,120.9,45
TS,20,121.7,45
TS,19.5,122.4,45
TS,19.2,123.1,45
TS,18.9,123.8,45
HU,14,96,75
HU,13.6,96.6,75
